speaker,text,expressions
marisa,お？やる気になったか？,char2
reimu,気が変わっただけよ,char1
marisa,それをやる気になったっていうんだよ！,char2
marisa,やるじゃないか,char2
marisa,弾幕はパワーだぜ,char2
marisa,一気にいくぜ！,char2
marisa,動くと撃つ！…ん？違うか？ああ撃つと動くだ,char2
reimu,あら、思ったより余裕ね,char1
marisa,まだ慌てるような時間じゃないぜ,char2
reimu,慌てた方がいいんじゃない？,char1
marisa,勝負はまだ始まったばかりだ,char2
marisa,ちっ、ちょっと攻撃を受けすぎたか…,char2
marisa,これでもくらいな！,char2
marisa,一瞬で終わらせてやるよ！,char2
marisa,くそ。さすがにそろそろきついな,char2
reimu,そのまま諦めてくれると助かるんだけど,char1
marisa,このまま終わると思うなよ？,char2
reimu,どうかしら？,char1
reimu,夜が明けない異変の時みたいに、今回も私が勝ちそうだけど？,char1
marisa,過去はもうない、未来はまだない、あるのは現在(いま)だけだ,char2
reimu,耐え忍ぶだけじゃ勝てないわよ？,char1
marisa,耐え忍ぶ？ 違うな,char2
marisa,一瞬の閃光に全てを賭けるのが、魔法使いだ,char2
reimu,……へえ。その割には、ずいぶんと長い一瞬ね,char1
reimu,あんたの『現在（いま）』、もう賞味期限切れなんじゃない？,char1
marisa,わかってないな、熟成肉が旨いというだろ？,char2
marisa,あー、くそ負けたか,char2
reimu,まあ、こんなものね,char1
marisa,負けたものはしかたない。帰って寝る,char2
marisa,威勢のよかった割には大したことなかったな,char2
reimu,しょうがないわね,char1
reimu,お賽銭は諦めるわ,char1
marisa,殊勝な心がけだな,char2
marisa,reimu、お前は一回休みだ,char2
