"speaker","text","voice","face","motion"
"reimu","はぁ、はぁ……。 あんた、チョロチョロと目障りね。 そこに居ると思ったら居ないし、居ないと思ったら居る。 真面目に避けなさいよ。私の勘が狂うじゃない","","",""
"reisen","くっ……（この巫女、デタラメだわ）。 波長をずらして認識を阻害しているのに、どうして正確に御札が飛んでくるのよ。 貴方、本当に目で見て狙っているの？","","",""
"reimu","目で見る必要なんてないわよ。 ただの勘よ","","",""
"reisen","勘ですって……？ 舐めるなッ 大体、少し追い詰めたくらいで勝ち誇らないで。 私はまだ、貴方の脳の位相を少し揺さぶっただけに過ぎないんだから","","",""
"reimu","今日は兎鍋ね","","",""
"reisen","肉食はダメじゃなかった？","","",""
"reimu","じゃあ月夜鍋ね","","",""
"reisen","同じじゃない」 「信仰心の薄い巫女だこと","","",""
"reimu","それで？そろそろ諦めてくれる？","","",""
"reisen","まだよ、月の兎の力を侮らないで 正気でいられなくしてあげるわ！","","",""
