"speaker","text","expressions"
"霊夢","……あれ？","odoroki"
"咲夜","終わりね","shinken"
"霊夢","今、当たった？","odoroki"
"咲夜","ええ",""
"霊夢","おかしいわね","odoroki"
"咲夜","弾は、当たるものよ","warai"
"霊夢","そんなはず無いんだけど","ressei"
"咲夜","避け損ねただけでしょう？","warai"
"霊夢","……そうかも","ressei"
"咲夜","今日は、私の勝ち","warai"
"霊夢","そう？",""
"咲夜","ええ。 弾幕ごっこだから","warai"
"霊夢","じゃあ、私の負け？",""
"咲夜","今のところは","warai"
"霊夢","ふうん……","ressei"
"咲夜","納得いかない顔ね","warai"
"咲夜","時間の使い方が違っただけ",""
"霊夢","時間ねえ",""
"咲夜","あなた、考えなさすぎなのよ",""
"霊夢","考えると、当たるから",""
"咲夜","それはそれで問題ね","warai"
"霊夢","もう一回やる？",""
"咲夜","今日は、ここまで",""
"霊夢","つまんない","ressei"
"咲夜","負けた側の台詞よ","warai"
"霊夢","……まあいいわ",""
"咲夜","引くの？",""
"霊夢","うん。 今日は運が悪かった",""
