"speaker","text","expressions"
"reimu","あら久しぶりね。お邪魔させてもらうわ",""
"sakuya","ここから先は私の仕事場よ。 これ以上、床を汚されるわけにはいかないの",""
"reimu","掃除なら後で手伝ってあげるわよ。 血とか弾とか、いつもより多めになりそうだし",""
"sakuya","冗談。あなたみたいな人に触らせたら、 時間を巻き戻したくなるもの",""
"reimu","便利ね、それ。 じゃあさっきの会話も無かったことにしてくれる？",""
"sakuya","それは無理。 無駄話の時間も、ちゃんと私の管理下だから",""
"reimu","管理しすぎると、体に悪いわよ。 融通って言葉、知ってる？",""
"sakuya","知ってるわ。 だから今、あなたをここで止める程度にしておくの",""
"reimu","止める、ねえ。 ずいぶん余裕じゃない",""
"sakuya","余裕が無いと、メイドは務まらないのよ。 お嬢様の前で取り乱すわけにはいかないでしょう？",""
"reimu","そのお嬢様、外で大騒ぎしてるの、 あんまり気にしてないみたいだけど",""
"sakuya","……だからこそ、私がここに立ってる",""
"reimu","忠誠心ってやつ？",""
"sakuya","仕事よ。 それ以上でも以下でもないわ",""
"reimu","ふうん。 じゃあ私は、その“仕事”を邪魔しに来た客ってわけね",""
"sakuya","ええ。 とても、しつこいお客様",""
"reimu","追い返せる？",""
"sakuya","時間を止めればね",""
"reimu","止められる前に、割り込めばいいだけよ",""
"sakuya","……本当に、面倒な人",""
"reimu","それ、よく言われるわ",""
"sakuya","なら話は早い。 これ以上進みたければ――",""
"reimu","弾幕ごっこ、でしょ？",""
"sakuya","ええ。 この館の流儀で",""
"reimu","いいわ。 私もその方が話が早いと思ってた",""
"sakuya","後悔しない？",""
"reimu","しないわ。 後悔する前に終わらせるから",""
"reimu","戦闘中汎用 「なかなかね」「止まった時の中で動ける？」 「時間が止まる、時間に止まる違いがわかる？」「魔法使いは生類憐れみの令、巫女は服忌令あたりかしら",""
