"speaker","text","expressions"
"霊夢","あら久しぶりね。お邪魔させてもらうわ","warai"
"咲夜","ここから先は私の仕事場よ。これ以上、床を汚されるわけにはいかないの","shinken"
"霊夢","掃除なら後で手伝ってあげるわよ。血とか弾とか、いつもより多めになりそうだし","warai"
"咲夜","冗談。あなたみたいな人に触らせたら、時間を巻き戻したくなるもの",""
"霊夢","便利ね、それ。じゃあさっきの会話も無かったことにしてくれる？","warai"
"咲夜","それは無理。無駄話の時間も、ちゃんと私の管理下だから",""
"霊夢","管理しすぎると、体に悪いわよ。融通って言葉、知ってる？",""
"咲夜","知ってるわ。だから今、あなたをここで止める程度にしておくの","shinken"
"霊夢","止める、ねえ。ずいぶん余裕じゃない","warai"
"咲夜","余裕が無いと、メイドは務まらないのよ。お嬢様の前で取り乱すわけにはいかないでしょう？","warai"
"霊夢","そのお嬢様、外で大騒ぎしてるの、あんまり気にしてないみたいだけど",""
"咲夜","……だからこそ、私がここに立ってる","shinken"
"霊夢","忠誠心ってやつ？",""
"咲夜","仕事よ。それ以上でも以下でもないわ",""
"霊夢","ふうん。じゃあ私は、その“仕事”を邪魔しに来た客ってわけね","warai"
"咲夜","ええ。とても、しつこいお客様","warai"
"霊夢","追い返せる？","warai"
"咲夜","時間を止めればね","shinken"
"霊夢","止められる前に、割り込めばいいだけよ","shinken"
"咲夜","……本当に、面倒な人",""
"霊夢","それ、よく言われるわ","warai"
"咲夜","なら話は早い。これ以上進みたければ――","shinken"
"霊夢","弾幕ごっこ、でしょ？","shinken"
"咲夜","ええ。この館の流儀で","shinken"
"霊夢","いいわ。私もその方が話が早いと思ってた","shinken"
"咲夜","後悔しない？","warai"
"霊夢","しないわ。後悔する前に終わらせるから","shinken"
