"speaker","text","expressions"
"早苗","あら、霊夢さん。こんなところでぼーっとして、また参拝客を逃しているんですか？","warai"
"霊夢","余計なお世話よ。客が来ないのはいつものことだし、あんたに言われる筋合いはないわ。",""
"早苗","ふふん、相変わらずですね。守矢の神社は今日も活気がありますよ。やっぱり、奇跡を売り物にするくらいじゃないと、今の時代、信仰なんて集まりませんから。","warai"
"霊夢","奇跡、奇跡って……。あんた、神様の力を安売りしすぎじゃないの？うちの神様なんて、何もしなくてもそこにいるだけで十分なのよ。",""
"早苗","それはただの怠慢です。巫女ならもっと、神様の徳を広める努力をするべきですよ。貴方は少し、現人神としての私の爪の垢でも煎じて飲んだほうがいいんじゃありません？","shinken"
"霊夢","はいはい、現人神様は立派なことで。","warai"
"早苗","私の起こす奇跡は、風を呼び、雨を呼ぶ、本物の神の力です。それとも何かしら……そんなに私のやり方が気に入らないのなら、どちらの巫女が正しいのか、はっきりさせましょうか。","shinken"
"霊夢","……。まあ、暇だし、あんたの鼻を折るくらいなら付き合ってあげてもいいけど。別に異変でもないのに、本気でやって怪我しても知らないわよ？","warai"
"早苗","お気遣いなく。これも「神遊び」、つまりはお祭りのようなものです。神様を喜ばせるには、全力の弾幕が一番の供物になるんですから！","shinken"
"霊夢","理屈っぽいわねぇ。ま、いいわ。あんたの言う「現代的な奇跡」とやらが、私の勘にどこまで通用するか、試させてもらうわよ！","shinken"
