"speaker","text","voice","face","motion"
"marisa","おいおい、さっきから妙だぜ。 真っ直ぐ撃ってるはずのレーザーが、あさっての方向に曲がっていくんだが","","",""
"reisen","あら、真っ直ぐ飛んでいるわよ。貴方の弾幕も、私の弾幕もね。ただ、貴方の『真っ直ぐ』という認識が歪んでいるだけ","","",""
"marisa","出たな、そのインチキ臭い理屈。お前の目は何時見ても気色が悪い。平衡感覚がおかしくなって、酔いが回った気分だぜ","","",""
"reisen","光の波長を少しずらしてあげたのよ。 今の貴方には、自分がどこに居て、誰を狙っているのかすら判らないでしょう？無駄な弾をばら撒くのは止めて、大人しく降参したらどう？","","",""
"marisa","はん、冗談言うなよ。弾幕は数と火力だ。狙いが定まらないなら、全方位焼き尽くせば当たるって寸法だろ？","","",""
"reisen","なら試してみなさい。 ……ほら、そこ。また何もない空間を攻撃してる","","",""
"marisa","くそっ、またか。さっきから真っ直ぐ飛んでるつもりなのに、勝手に体が右に寄っていきやがる。","","",""
"reisen","右に寄っているのは貴方の認識の方よ。貴方は今、真っ直ぐ進もうとする意思と、狂い始めた距離感の間で矛盾しているの。私の目を見て平気でいられるなんて思わないことね","","",""
"marisa","へっ、あいにくだが私は正面突破しか知らないんでな。道が歪んでるなら、道ごと吹き飛ばして直進するだけだ","","",""
"reisen","それがあなたの悪い癖ね。力任せに振る舞えば、絡まった糸が解けるとでも思っているのかしら。……残念だけど、貴方が魔力を込めれば込めるほど、その照準は『明後日の方向』へズレていくわよ","","",""
"marisa","おいおい、脅し文句にしては洒落が効いてないぜ。だが妙だな。お前、そこに居るのか？私の目には、お前が三人くらいに分裂して見えるんだが","","",""
"reisen","さて、どれが本物でしょうね？波長を少しずらすだけで、情報は実体を離れて亡霊のように彷徨う。貴方が必死に追いかけているのは、ただの残像。私が残した幻影よ","","",""
"marisa","ちっ、面倒くさい能力だ。 弾幕はパワーだと言いたいところだが……これじゃあ暖簾に腕押しだな。アリスがいたら『もっと頭を使え』と五月蠅そうだ","","",""
