"speaker","text","voice","face","motion"
"reimu","ちょ、ちょっと！ さっきから目の前がぐにゃぐにゃして気持ち悪いわね。 真っ直ぐ飛んでる筈の御札が、あさっての方向に曲がるんだけど","","",""
"reisen","あら、まだ立っていられるの？ 三半規管が麻痺して、地面と空の区別も付かなくなっている頃だと思ったのに。 貴方が見ている『真っ直ぐ』は、貴方の脳が勝手に補正した『願望』に過ぎないわ","","",""
"reimu","哲学的な話はパスよ。 要するに、あんたが私の邪魔をしてるってことじゃない。","","",""
"reimu","うーん、目がチカチカする……。 あんたのその赤い目、充血してるなら目薬でもさしたらどう？ 見てるこっちまで伝染（うつ）りそうだわ","","",""
"reisen","師匠に作ってもらおうかしら。伝染ったならあなたもどう？","","",""
"reimu","目が頼りにならないなら、目を閉じて撃てばいいだけじゃない","","",""
"reisen","目を閉じる？ 視界を塞げば、余計に私の放つ幻視と幻聴が増幅するだけよ。 暗闇の中で、永遠に落ち続ける感覚を味わいたいのかしら？","","",""
"reimu","勘違いしないで。 あんたがどこに居ようと、どれだけ波長をズラそうとねえ。 この辺一帯、全部まとめて吹き飛ばせば『当たり』なのよ！ 小細工ばかりの兎鍋にしてやるわ！","","",""
"reisen","ッ……野蛮な巫女ね！ なら、貴方の精神が焼き切れるまで、月の狂気（ルナティック）を注ぎ込んであげる！","","",""
"reimu","……っ、痛っ！ 何よこれ、今の絶対当たってないでしょ！？ あんたの弾幕、遠近感が狂ってるんじゃないの？ さっきから自分が何処を飛んでるのか、掴めないんだけど","","",""
"reisen","あら、まだ気が付かないの？ 貴方には私が『正面』に居るように見えているでしょうけど、 今の私は貴方の『真横』から撃っているのよ","","",""
"reimu","はぁ？ 意味が分からないわよ。 目の前にその長い耳が見えてるじゃない","","",""
"reisen","それは残留した波長（イメージ）よ。 光の位相をずらして、実像と虚像の座標を入れ替えたの。 貴方、自分の勘に絶対の自信を持っているようだけど…… 入力される情報（シグナル）そのものが狂っていたら、巫女の勘も誤作動を起こすだけね","","",""
"reimu","くっ……。 ああもう、イライラする！ そこに見える偽物を叩けば、本体に響くようにしてやるわ！","","",""
"reisen","無駄よ。 今の貴方の脳波は、私が送り込んだ波長と完全に同期し始めている。 平衡感覚は失われ、真っ直ぐ飛ぼうと思えば思うほど、自ら弾幕の厚い所へ飛び込んでいく。 ほら、また一発。 そろそろ地面と空の区別も怪しくなってきたんじゃない？","","",""
"reimu","……うるさい兎ね。 三半規管なんて飾りよ。 要は、あんたが認識できなくなるまで、この辺り一面を更地にすればいいだけの話でしょ","","",""
"reisen","強がりね。呼吸が乱れているわよ？ 地上の生き物は、少し五感を弄ってやるだけで脆く崩れ去る。 さあ、その充血した瞳で、幻（わたし）の最後を見届けるといいわ！","","",""
