"speaker","text","expressions"
"早苗","おかしいわね。この辺りに「新しい波」の発生源があるって聞いたのに。もっとアンテナのような、大きな物があるかと思ったのですが。",""
"鈴仙","東風谷早苗だったっけ？独り言ですか？ それともまた何か探し物？",""
"早苗","あ、あなたは里の薬売りの鈴仙さんですね。探し物というかええ、ちょっとした興味から調査を。この辺りで「波長」が乱れているような場所、知りませんか？",""
"鈴仙","波長、だったら私かしら。どうかしたんですか？",""
"早苗","今、神奈子様がテレビ放送の実験中なのですが、受信している波にノイズが乗っていてその調査に。",""
"鈴仙","ああ、確かに言われてみれば幻想郷ではなかった波長が。でも、私じゃないわ。私の能力でもアナログ波は弄れるけど特になにもしてないですよ。",""
"早苗","おお波長を操作できるんですか！ そのプロセスがとっても興味深いんです。幻想郷の技術革新には、そういった波長の理解も必要だと思うのですよ。","odoroki"
"鈴仙","はあ、相変わらず熱心ですね。私は師匠の薬作りの手伝いで精一杯ですけど。","warai"
"早苗","それで、少し相談なのですが。その鈴仙さんに波長を操作しもらってノイズを払ってもらえませんか？",""
"鈴仙","よその勢力に師匠に無断で肩入れするわけには...",""
"早苗","うーん...では弾幕ごっこで勝ったらどうでしょうか？","warai"
"鈴仙","唐突ですね！？私これから師匠の手伝いをしないといけないんだけど！？","odoroki"
"早苗","じゃあいきますよ！『神籤「乱れおみくじ連続引き」』","shinken"
"鈴仙","まったく聞いてないっ","odoroki"
