"speaker","text","voice","face","motion"
"youmu","「はぁ……はぁ……。 流石に永遠亭の兎は、一筋縄ではいかないわね","","",""
"reisen","「あら、随分と息が上がっているじゃない。 冥界の庭師ともあろう方が、もうお疲れかしら？","","",""
"youmu","「そんな事は……。 ただ、さっきから弾幕の数がおかしく見えるのよ。 貴方、また何か波長を弄っているんでしょう？","","",""
"reisen","「失礼ね、私はただ真っ直ぐ撃っているだけですよ。 貴方の目が、勝手に幻視を捉えているだけ。 心が揺らいでいる証拠じゃないかしら？","","",""
"youmu","「理屈っぽいわねぇ。 大体、実体のない弾をいくら避けても、 本物を一発受けてしまえばお終いなのよ","","",""
"reisen","「その一発が当たらないから、貴方は苦労しているんでしょう？ 剣を振るう速度は速いみたいだけど、 捉えるべき標的が狂っていては、庭掃除にもなりゃしないわ","","",""
"youmu","「うう……言い返せないのが癪だわ。 幽々子様にも、貴方の瞳には気をつけろと言われていたのに","","",""
"reisen","「あら、あの亡霊のお嬢様にまで名前を覚えられているなんて光栄ね。 でも、今の貴方は私を斬ることより、 自分の足元がどっちを向いているか確認した方が良いと思うわよ？","","",""
"youmu","「足元……？ あ、いつの間にこんな崖際まで……。 やっぱり何かしたでしょう！","","",""
"reisen","「さあ、どうかしら。 さて、私はそろそろ薬の材料を探しに行かないといけないの。 迷子にならないうちに、冥界へ帰りなさいな","","",""
"youmu","「待ちなさい！ まだ、私の楼観剣は折れていないわ。 次は……次は、その赤い瞳に映る前に斬ってみせるんだから！","","",""
