"speaker","text","expressions"
"咲夜","あー、もう。やってられないわ。これ以上やると、ナイフの補充費で屋敷が傾くわね","ressei"
"魔理沙","お、降参か？ 意外と早かったな。太陽にも到達できないぜ","warai"
"咲夜","10分よ。あなたは光ほど早くないでしょ？",""
"魔理沙","辿り着けるぜ？ お前が時を止めてくれればな","warai"
"咲夜","あいにく宇宙旅行は取り扱ってないわ",""
"魔理沙","で、勝負は私の勝ちって事でいいんだな","warai"
"咲夜","そうね。あなたが勝ったわ。素晴らしい火力だったわよ。火力だけは","ressei"
"魔理沙","火力は正義だぜ。細かいコントロールは、性格の悪い奴がやればいいのさ","shinken"
"咲夜","あら、私の弾幕が性格悪いって言いたいの？","warai"
"魔理沙","空間を歪めるのは性格以前の問題だろ。三半規管がねじ切れるかと思ったぜ","ressei"
"咲夜","ねじ切れてれば良かったのに。そうすれば、真っ直ぐ歩いて帰れなくなるでしょう？","warai"
"魔理沙","あいにく、私は箒に乗ってるからな。歩くのは地上の特権だ","warai"
