"speaker","text","expressions"
"魔理沙","……相変わらず、無駄に静かだな。 この手の静けさって、だいたい碌なことが起きない。",""
"咲夜","無駄じゃないわ。 今から無駄になる時間を、先に止めてるだけ。",""
"魔理沙","時間止める前に、口も止めたらどうだ？ メイドにしてはよく喋るぜ。","warai"
"咲夜","あら、口を止めたらあなたが勝手に進むでしょう？ 掃除前に散らかされるのが一番嫌いなの。","warai"
"魔理沙","掃除ねぇ。 弾幕で片付くなら、私も手伝ってやるが。","warai"
"咲夜","結構。 あなたは散らかす側の才能がありすぎるわ。","warai"
"魔理沙","才能ってのは自覚がないもんだぜ。","warai"
"魔理沙","で？ 今日は何係だ？ 通行止め係か？",""
"咲夜","侵入者対応係。 それと――時間外労働の原因排除係。","shinken"
"魔理沙","悪魔の犬の時給はいくらだ？",""
"咲夜","ないわよ",""
"魔理沙","ブラックだな","odoroki"
"咲夜","白い悪魔がいるの？","warai"
