"speaker","text","voice","face","motion"
"sakuya","あーあ、無駄な時間を過ごしたわ。時給換算で幾らの損害かしら。","","",""
"marisa","無給じゃなかったのか？その点、私の弾幕はプライスレスだぜ？","","",""
"sakuya","値段がつかないだけでしょう？ガラクタだもの。","","",""
"marisa","ガラクタとは心外だな。リサイクル資源と言って欲しいね。","","",""
"sakuya","資源ゴミの回収日は明日よ。今日は生ゴミの日だから、あなたは回収できないわ。","","",""
"marisa","あんた、私をなんだと思ってるんだ？","","",""
"sakuya","お掃除の対象。あるいは、歩く不法投棄物。","","",""
"marisa","……へいへい。どうやら私の居場所は、ゴミ箱の中にも無いらしい。","","",""
"sakuya","わかったらさっさと帰りなさい。 そこに居座られると、空間の美観を損ねるのよ。","","",""
"marisa","ああ、帰るぜ。","","",""
