"speaker","text","expressions"
"霊夢","……あら。 ずいぶん余裕そうね。","warai"
"咲夜","忙しいだけよ。 それでも、邪魔をするなら相手になる。","shinken"
"霊夢","邪魔してるつもりはないんだけど。 ただ、通りたいだけよ。",""
"咲夜","通す理由がないでしょ？",""
"霊夢","理由が必要なの？",""
"咲夜","人間が無断で進もうとするなら、ええ。","shinken"
"霊夢","堅苦しいわね。 もっと適当に生きたら？","warai"
"咲夜","適当では務まらない。 私の仕事は。","shinken"
"霊夢","仕事、ねぇ。 随分と物騒な道具を使う仕事みたいだけど。",""
"咲夜","効率重視なだけ。 時間も、手間も、無駄にしないわ。",""
"霊夢","……今、ちょっと嫌な言い回ししなかった？","odoroki"
"咲夜","気のせいよ。","warai"
"霊夢","そう。 じゃあ私も、無駄は省くわ。","shinken"
"咲夜","つまり？",""
"霊夢","話はここまで。 後は弾幕で十分でしょ。","shinken"
"咲夜","最初から、そのつもり。","shinken"
"霊夢","あら、気が合うじゃない。","warai"
"咲夜","ええ。 ――止まっている暇はないの。","shinken"
