"speaker","text","voice","face","motion"
"reimu","……ちょっと、数が多くない？","","",""
"sakuya","「数えてないわ。 自然とこうなるのよ。","","",""
"reimu","「自然ねぇ。 人間相手に、ずいぶん親切な自然だこと。","","",""
"sakuya","「避けられていますわ。 まだ余裕がある証拠よ。","","",""
"reimu","「そう言われると、余裕が無い気がしてくるんだけど。","","",""
"sakuya","「気のせいではありませんわね。 動きが鈍ってる。","","",""
"reimu","「夜更かしが祟ったかしら。 それとも、相手が悪いのか。","","",""
"sakuya","「両方でしょう。","","",""
"reimu","「はっきり言うわね。","","",""
"sakuya","「仕事だからよ。","","",""
"reimu","まだ勝敗はわからないわ","","",""
"sakuya","見えてきたわ。","","",""
"reimu","まだ見えないわよ。","","",""
"sakuya","見えないからこうなる","","",""
"reimu","見る必要がないもの","","",""
"sakuya","なら、見せてあげる","","",""
"reimu","メイドは手術もできるのね","","",""
