"speaker","text","voice","face","motion"
"sakuya","あら、随分と耳が忙しそうね。何か不吉な放送でも受信しているのかしら？","","",""
"reisen","放送なんてしてないわよ。これは波長を弄っているの。貴方の視界も、もうまともな距離を保てていない筈だけど？","","",""
"sakuya","そうね。さっきから貴方の姿が二重にも三重にも見えるわ。お掃除のしがいがあって助かるけれど","","",""
"reisen","強がりを……。さっきから私の弾幕を紙一重で避けているみたいだけど、それもいつまで持つかしら。波長を短くすれば、貴方の動ける隙間なんて無くなるわ！","","",""
"sakuya","隙間なら作るものよ。……というか、貴方の弾幕、少し乱暴になってきていない？ 波長を弄る前に、自分の呼吸を整えたらどうかしら","","",""
"reisen","っ……！ 呼吸が乱れているのは、貴方の動きが不自然だからよ。時々、消えたかと思えば変な場所に現れるし……。貴方、本当に地上人なの？","","",""
"sakuya","ただのメイドよ。時間は有限だけど、私はそれを少しだけ有効に使っているだけ。","","",""
"reisen","いいわ、もっと波長を歪めてあげる。だいたい、そのナイフ。そんなに投げて、後で拾うのが大変じゃないの？","","",""
"sakuya","止めた時の中でその時間が1番長いわね","","",""
"sakuya","あら、寝不足なの？目が真っ赤よ","","",""
"reisen","、月の狂気の瞳よ。あなた、さっきからまともに立っていられるはずがないんだけど……","","",""
"sakuya","止まった時間の中では波長も止まる","","",""
"reisen","いいえ、あなたの波長はすでに歪んでいる。波長を弄られた自覚さえないのかしら。あなたの見ている『直線』は、もう『曲線』に書き換えられているのよ。そのナイフ、自分に刺さったりしないといいですね。","","",""
"sakuya","自分に刺さったら痛いわね。","","",""
