"speaker","text","expressions"
"妖夢","おや、こんなところで。 紅魔館のメイドさん、ですよね",""
"咲夜","あら。 冥界の庭師が半死体でふらふらと、どちらへ？","warai"
"妖夢","ふらふらなんてしていません。ところで、貴方はお買い物ですか？",""
"咲夜","ええ、お嬢様の午後の紅茶に添えるものを少々。 ただ、この辺りは少しばかり静かすぎるようね",""
"妖夢","静かなのは良いことでしょう。 冥界なんて、これよりずっと静かですよ",""
"咲夜","そうかしら。 静寂は時に、刃を鈍らせる毒にもなるわ。 貴方のその剣、今はちゃんと物が斬れる状態？","warai"
"妖夢","……随分な言いようですね。 私の楼観剣と白楼剣が、なまくらだと言いたいのですか？","shinken"
"咲夜","いいえ、ただの確認よ。 もし錆びついているのなら、 私のナイフで研ぎ直してあげようかと思って","warai"
"妖夢","お断りします。 剣の調子なら、今ここで咲夜に試してみれば済むことですし","shinken"
"咲夜","あら、話が早くて助かるわ。 ちょうど私も、お茶の時間までに少し指先を鳴らしておきたかったの","warai"
"妖夢","手加減はしませんよ。 冥界の剣筋、見失わないようにしてくださいね！","shinken"
"咲夜","心配御無用。 貴方の時間は、私が止めてあげるから","shinken"
