"speaker","text","expressions"
"早苗","あら、魔理沙さん。奇遇ですね。こんなところで何をしているんですか？","warai"
"魔理沙","何って、ただの散歩だぜ。退屈してたんでな、何か面白いもんでも落ちてないかと探してたんだ",""
"早苗","面白いもの、ですか。それならちょうど良かったです。実は私も、幻想郷の『不思議』を一つ、実証しようと思っていたところでして","warai"
"魔理沙","不思議だぁ？ お前らが山ごと引っ越してきたこと以上の不思議なんて、そうそう転がってねーだろ","odoroki"
"早苗","ふふふ、それはどうかしら。実は最近、外の世界の『物理法則』が幻想郷でどう歪むのか、少し興味があるんです","warai"
"魔理沙","また小難しいことを言い出したな。パチュリーみたいな口ぶりだぜ","warai"
"早苗","例えば、外の世界では『ありえない』とされている質量保存の法則の無視や、慣性を無視した急停止。これらは幻想郷では『奇跡』ではなく、ただの日常ですよね？","shinken"
"魔理沙","所詮は外の世界の法則だ。こっちにはこっちの理論がある。",""
"早苗","そう、そこなんです。理屈を超えた力が当たり前に存在するこの場所で、私の『奇跡』と、魔理沙さんの『魔法』……どちらがより、この世界の真理に近いのかしら、と","shinken"
"魔理沙","おいおい、穏やかじゃないな。要するに、どっちが強いか白黒つけようってことか？","warai"
"早苗","いえいえ、そんな物騒な。ただの……そうですね、技術交流会、といったところでしょうか。","warai"
"魔理沙","技術交流ねぇ。なら、手加減抜きの派手なやつをお願いしたいぜ。ちょうど腕がなまってたところなんだ","shinken"
"早苗","望むところです。あ、でも、あんまり本気で壊さないでくださいね？ 神奈子様に『また服をボロボロにして』って怒られちゃいますから","warai"
