"speaker","text","expressions"
"魔理沙","お、幽霊屋敷の庭師じゃないか。 こんな所でぼーっとして、さては迷子にでもなったのか？","warai"
"妖夢","魔理沙か。失礼ね、迷子な訳ないでしょう。 私はただ、精神を研ぎ澄ませていただけだわ",""
"魔理沙","研ぎ澄ませてた？ 私には、立ったまま居眠りしてるようにしか見えなかったぜ","warai"
"妖夢","……。 あんたにどう見えようと勝手だけど、修行の邪魔はしないで欲しいわね",""
"魔理沙","修行、修行か。結構なこった。修行なら私の相手をしてくれ暇なんだよ","warai"
"妖夢","修行と暇つぶしを同じにしてほしくないわね",""
"魔理沙","そんな風に刀を握り直してる時点で、お前もやる気満々だろ？","warai"
"妖夢","……別に、そういう訳じゃないんだけど",""
"魔理沙","いいや、判るぜ。 斬ってみたいって顔だ","warai"
"妖夢","そうね。 あんたのその減らず口を黙らせるのも、良い修行になるかもしれないわ","shinken"
"魔理沙","ははっ、そうこなくっちゃな。 挨拶代わりの弾幕だ、派手にいくぜ！","shinken"
"妖夢","後悔しても知らないわよ。 楼観剣の錆にしてあげるわ！","shinken"
