"speaker","text","expressions"
"霊夢","……あら。あんたか","warai"
"妖夢","どうも。",""
"霊夢","用事なら手短にして。今ちょっと気分じゃないの",""
"妖夢","気分で神社の巫女やってるの？",""
"霊夢","失礼ね。一応いつもよ",""
"妖夢","そう。じゃあ、邪魔してるわけじゃないか",""
"霊夢","結果的にね",""
"妖夢","結果的、って便利な言葉だよね","warai"
"霊夢","便利じゃないと生きてけないのよ",""
"妖夢","冥界も似たようなものだけど",""
"霊夢","へえ。あの世も世知辛いのね","warai"
"妖夢","生きてないけどね","warai"
"霊夢","そこ訂正するんだ","odoroki"
"妖夢","半分だけね",""
"霊夢","中途半端","warai"
"妖夢","半人半霊だから",""
"霊夢","それで？何の用？",""
"妖夢","幽々子様に言われたのよ。みんなと戦ってきなさいって",""
"霊夢","あー。最強が誰だかとかってやつね。悪いけど乗り気じゃないのよ。パスよパス",""
"妖夢","それは困る。幽々子様に言われたことだから。","ressei"
"霊夢","あんた幽々子のこと好きすぎじゃない？","warai"
"妖夢","問答無用。斬る！","shinken"
