"speaker","text","expressions"
"妖夢","これといって変わった様子は無いわね。 幽々子様に『何か面白そうなものを探してきて』と言われたけれど……",""
"？？？","あら、","warai"
"咲夜","それは随分と抽象的な命令ね。 幽霊の主人は、庭師に哲学の修行でもさせているのかしら？","warai"
"妖夢","あ、紅魔館のメイド。 咲夜もお嬢様に何か言い付けられているのですか？","odoroki"
"咲夜","私は夕食の献立に彩りを添える何かを探しているだけ。 でも、この辺りには退屈な景色しか転がっていないわね",""
"妖夢","退屈、ですか。 私には、いつも通りの静かな道にしか見えませんけど",""
"咲夜","それが退屈だって言っているのよ。 変化が無いということは、時間が止まっているのと同じ。 私の世界ならいざ知らず、外の世界でそれは不自然だわ",""
"妖夢","時間は止まってなんていません。 現に、私がこうして探し物をしている間に日は暮れていくのですから","shinken"
"咲夜","あら、時間は進んでいるつもりかしら？ 同じ場所をぐるぐる回っているだけでは、それは止まっているのと同じこと。貴方のその剣も、今日は一度も鞘から抜かれていないのでしょう？","warai"
"妖夢","む……。 それは、斬るべき相手も、斬らねばならない理由も無いからです","ressei"
"咲夜","理由は作るものよ。","warai"
"妖夢","……なるほど。 確かに、手ぶらで帰るよりは、咲夜と一勝負したという土産話の方が 幽々子様も喜ぶかもしれませんね","warai"
"咲夜","話が早くて助かるわ","warai"
